time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,-1.624821305274963379e+00,-1.510971069335937500e+00,3.012767791748046875e+00,-8.423311233520507812e+00,2.329391572857275605e-04,1.194808210129849613e-04
1.000642776489257812e-03,-1.624821305274963379e+00,-1.510971069335937500e+00,3.012767791748046875e+00,-8.423311233520507812e+00,2.329391572857275605e-04,1.194808210129849613e-04
2.001047134399414062e-03,-1.617486953735351562e+00,-1.528995394706726074e+00,3.368180513381958008e+00,-9.288372993469238281e+00,-2.116994292009621859e-04,2.426961145829409361e-04
3.001213073730468750e-03,-1.617486953735351562e+00,-1.528995394706726074e+00,3.368180513381958008e+00,-9.288372993469238281e+00,-2.116994292009621859e-04,2.426961145829409361e-04
4.001379013061523438e-03,-1.610248446464538574e+00,-1.545485734939575195e+00,3.608301162719726562e+00,-9.469409942626953125e+00,-9.119791211560368538e-04,4.725360486190766096e-04
5.001544952392578125e-03,-1.610248446464538574e+00,-1.545485734939575195e+00,3.608301162719726562e+00,-9.469409942626953125e+00,-9.119791211560368538e-04,4.725360486190766096e-04
6.001710891723632812e-03,-1.601571917533874512e+00,-1.563509941101074219e+00,3.923198461532592773e+00,-9.456098556518554688e+00,3.533619164954870939e-04,1.360788010060787201e-03
7.001876831054687500e-03,-1.601571917533874512e+00,-1.563509941101074219e+00,3.923198461532592773e+00,-9.456098556518554688e+00,3.533619164954870939e-04,1.360788010060787201e-03
8.002042770385742188e-03,-1.592943191528320312e+00,-1.580767273902893066e+00,4.180906772613525391e+00,-9.466228485107421875e+00,9.437391418032348156e-05,9.000872960314154625e-04
9.002208709716796875e-03,-1.583499670028686523e+00,-1.600708961486816406e+00,4.556893348693847656e+00,-1.034191703796386719e+01,-8.970549679361283779e-04,4.280720604583621025e-04
1.000237464904785156e-02,-1.583499670028686523e+00,-1.600708961486816406e+00,4.556893348693847656e+00,-1.034191703796386719e+01,-8.970549679361283779e-04,4.280720604583621025e-04
1.100254058837890625e-02,-1.573576688766479492e+00,-1.618733286857604980e+00,4.855238437652587891e+00,-9.989301681518554688e+00,-1.231409376487135887e-03,1.851086271926760674e-04
1.200270652770996094e-02,-1.573576688766479492e+00,-1.618733286857604980e+00,4.855238437652587891e+00,-9.989301681518554688e+00,-1.231409376487135887e-03,1.851086271926760674e-04
1.300287246704101562e-02,-1.563030600547790527e+00,-1.637140989303588867e+00,5.103956222534179688e+00,-9.779562950134277344e+00,6.401330465450882912e-04,3.051736275665462017e-04
1.400303840637207031e-02,-1.563030600547790527e+00,-1.637140989303588867e+00,5.103956222534179688e+00,-9.779562950134277344e+00,6.401330465450882912e-04,3.051736275665462017e-04
1.500320434570312500e-02,-1.551861286163330078e+00,-1.655932307243347168e+00,5.486260414123535156e+00,-9.830320358276367188e+00,7.155560888350009918e-04,9.656057227402925491e-04
1.600337028503417969e-02,-1.551861286163330078e+00,-1.655932307243347168e+00,5.486260414123535156e+00,-9.830320358276367188e+00,7.155560888350009918e-04,9.656057227402925491e-04
1.700353622436523438e-02,-1.540308475494384766e+00,-1.677024483680725098e+00,5.760639190673828125e+00,-1.056371402740478516e+01,-1.634472282603383064e-03,5.280691548250615597e-04
1.800370216369628906e-02,-1.540308475494384766e+00,-1.677024483680725098e+00,5.760639190673828125e+00,-1.056371402740478516e+01,-1.634472282603383064e-03,5.280691548250615597e-04
1.900386810302734375e-02,-1.527365565299987793e+00,-1.698883771896362305e+00,6.088013172149658203e+00,-1.090143203735351562e+01,2.084885927615687251e-04,5.448228330351412296e-04
2.000403404235839844e-02,-1.527365565299987793e+00,-1.698883771896362305e+00,6.088013172149658203e+00,-1.090143203735351562e+01,2.084885927615687251e-04,5.448228330351412296e-04
2.100419998168945312e-02,-1.514278769493103027e+00,-1.718825578689575195e+00,6.451898574829101562e+00,-1.071927928924560547e+01,4.827146476600319147e-04,8.082760614342987537e-04
2.200436592102050781e-02,-1.501000285148620605e+00,-1.741068243980407715e+00,6.723127841949462891e+00,-1.160678195953369141e+01,-7.936300244182348251e-04,1.031598731060512364e-04
2.300453186035156250e-02,-1.501000285148620605e+00,-1.741068243980407715e+00,6.723127841949462891e+00,-1.160678195953369141e+01,-7.936300244182348251e-04,1.031598731060512364e-04
2.400469779968261719e-02,-1.486906766891479492e+00,-1.762160420417785645e+00,7.130868434906005859e+00,-1.185828113555908203e+01,-3.562863857951015234e-04,-2.497347304597496986e-04
2.500486373901367188e-02,-1.486906766891479492e+00,-1.762160420417785645e+00,7.130868434906005859e+00,-1.185828113555908203e+01,-3.562863857951015234e-04,-2.497347304597496986e-04
2.600502967834472656e-02,-1.473005056381225586e+00,-1.782869219779968262e+00,7.350521087646484375e+00,-1.185362720489501953e+01,-8.046800940064713359e-05,7.663256837986409664e-05
2.700543403625488281e-02,-1.473005056381225586e+00,-1.782869219779968262e+00,7.350521087646484375e+00,-1.185362720489501953e+01,-8.046800940064713359e-05,7.663256837986409664e-05
2.800559997558593750e-02,-1.457281827926635742e+00,-1.803578019142150879e+00,7.780438899993896484e+00,-1.152886676788330078e+01,-6.374434451572597027e-04,7.395542925223708153e-04
2.900576591491699219e-02,-1.457281827926635742e+00,-1.803578019142150879e+00,7.780438899993896484e+00,-1.152886676788330078e+01,-6.374434451572597027e-04,7.395542925223708153e-04
3.000593185424804688e-02,-1.441750288009643555e+00,-1.825437188148498535e+00,8.119466781616210938e+00,-1.167270946502685547e+01,6.544030038639903069e-04,5.686793010681867599e-04
3.100609779357910156e-02,-1.426122784614562988e+00,-1.848063349723815918e+00,8.352143287658691406e+00,-1.218316268920898438e+01,-8.377133635804057121e-04,-1.078818604582920671e-04
3.200626373291015625e-02,-1.426122784614562988e+00,-1.848063349723815918e+00,8.352143287658691406e+00,-1.218316268920898438e+01,-8.377133635804057121e-04,-1.078818604582920671e-04
3.300642967224121094e-02,-1.409296989440917969e+00,-1.870306134223937988e+00,8.641391754150390625e+00,-1.199843788146972656e+01,4.844303184654563665e-04,1.350422622635960579e-03
3.400659561157226562e-02,-1.409296989440917969e+00,-1.870306134223937988e+00,8.641391754150390625e+00,-1.199843788146972656e+01,4.844303184654563665e-04,1.350422622635960579e-03
3.500676155090332031e-02,-1.391799926757812500e+00,-1.893315792083740234e+00,8.960283279418945312e+00,-1.242843246459960938e+01,-3.350862243678420782e-04,7.187315495684742928e-04
3.600716590881347656e-02,-1.391799926757812500e+00,-1.893315792083740234e+00,8.960283279418945312e+00,-1.242843246459960938e+01,-3.350862243678420782e-04,7.187315495684742928e-04
3.700733184814453125e-02,-1.374207139015197754e+00,-1.915558576583862305e+00,9.267280578613281250e+00,-1.225364971160888672e+01,-7.281841244548559189e-04,-7.972431376401800662e-06
3.800749778747558594e-02,-1.374207139015197754e+00,-1.915558576583862305e+00,9.267280578613281250e+00,-1.225364971160888672e+01,-7.281841244548559189e-04,-7.972431376401800662e-06
3.900766372680664062e-02,-1.355607628822326660e+00,-1.938568234443664551e+00,9.548709869384765625e+00,-1.232121276855468750e+01,2.088638138957321644e-04,-3.975132422056049109e-04
4.000782966613769531e-02,-1.355607628822326660e+00,-1.938568234443664551e+00,9.548709869384765625e+00,-1.232121276855468750e+01,2.088638138957321644e-04,-3.975132422056049109e-04
4.100799560546875000e-02,-1.336576700210571289e+00,-1.962345004081726074e+00,9.899259567260742188e+00,-1.258772182464599609e+01,-3.667098280857317150e-05,9.429986675968393683e-05
4.200816154479980469e-02,-1.317689538002014160e+00,-1.984971165657043457e+00,1.008495140075683594e+01,-1.249635601043701172e+01,1.650131744099780917e-04,-3.620346542447805405e-04
4.300832748413085938e-02,-1.317689538002014160e+00,-1.984971165657043457e+00,1.008495140075683594e+01,-1.249635601043701172e+01,1.650131744099780917e-04,-3.620346542447805405e-04
4.400873184204101562e-02,-1.297364234924316406e+00,-2.007980823516845703e+00,1.049715423583984375e+01,-1.245650005340576172e+01,1.637303466850426048e-05,2.248867385787889361e-04
4.500889778137207031e-02,-1.297364234924316406e+00,-2.007980823516845703e+00,1.049715423583984375e+01,-1.245650005340576172e+01,1.637303466850426048e-05,2.248867385787889361e-04
4.600906372070312500e-02,-1.275888562202453613e+00,-2.032524585723876953e+00,1.091326713562011719e+01,-1.307014656066894531e+01,-3.439594875089824200e-04,5.763369263149797916e-04
4.700922966003417969e-02,-1.275888562202453613e+00,-2.032524585723876953e+00,1.091326713562011719e+01,-1.307014656066894531e+01,-3.439594875089824200e-04,5.763369263149797916e-04
4.800939559936523438e-02,-1.254556655883789062e+00,-2.055150747299194336e+00,1.125167083740234375e+01,-1.264098453521728516e+01,-3.836043179035186768e-04,-3.965284558944404125e-04
4.900956153869628906e-02,-1.254556655883789062e+00,-2.055150747299194336e+00,1.125167083740234375e+01,-1.264098453521728516e+01,-3.836043179035186768e-04,-3.965284558944404125e-04
5.000972747802734375e-02,-1.228862404823303223e+00,-2.081228494644165039e+00,1.165137004852294922e+01,-1.267004299163818359e+01,-2.749488630797713995e-04,-3.951441904064267874e-04
5.100989341735839844e-02,-1.228862404823303223e+00,-2.081228494644165039e+00,1.165137004852294922e+01,-1.267004299163818359e+01,-2.749488630797713995e-04,-3.951441904064267874e-04
5.201005935668945312e-02,-1.206427931785583496e+00,-2.104621648788452148e+00,1.194887924194335938e+01,-1.270358180999755859e+01,-4.522996096056886017e-05,2.650216920301318169e-04
5.301022529602050781e-02,-1.206427931785583496e+00,-2.104621648788452148e+00,1.194887924194335938e+01,-1.270358180999755859e+01,-4.522996096056886017e-05,2.650216920301318169e-04
5.401039123535156250e-02,-1.182651281356811523e+00,-2.128014802932739258e+00,1.228247451782226562e+01,-1.271772193908691406e+01,-1.555361202917993069e-03,-2.565350441727787256e-04
5.501055717468261719e-02,-1.158059597015380859e+00,-2.151791572570800781e+00,1.264119529724121094e+01,-1.276948738098144531e+01,2.081966813420876861e-04,6.107183871790766716e-04
5.601072311401367188e-02,-1.158059597015380859e+00,-2.151791572570800781e+00,1.264119529724121094e+01,-1.276948738098144531e+01,2.081966813420876861e-04,6.107183871790766716e-04
5.701088905334472656e-02,-1.133563876152038574e+00,-2.174801349639892578e+00,1.298105144500732422e+01,-1.263861560821533203e+01,-9.176364401355385780e-04,3.589150437619537115e-04
5.801105499267578125e-02,-1.133563876152038574e+00,-2.174801349639892578e+00,1.298105144500732422e+01,-1.263861560821533203e+01,-9.176364401355385780e-04,3.589150437619537115e-04
5.901122093200683594e-02,-1.107390403747558594e+00,-2.198961496353149414e+00,1.327732372283935547e+01,-1.276137638092041016e+01,1.118314175982959569e-04,-4.336292331572622061e-04
6.001138687133789062e-02,-1.107390403747558594e+00,-2.198961496353149414e+00,1.327732372283935547e+01,-1.276137638092041016e+01,1.118314175982959569e-04,-4.336292331572622061e-04
6.101179122924804688e-02,-1.081696152687072754e+00,-2.220820665359497070e+00,1.363561820983886719e+01,-1.232984924316406250e+01,9.056486887857317924e-04,-7.702847360633313656e-04
6.201195716857910156e-02,-1.081696152687072754e+00,-2.220820665359497070e+00,1.363561820983886719e+01,-1.232984924316406250e+01,9.056486887857317924e-04,-7.702847360633313656e-04
6.301212310791015625e-02,-1.055091142654418945e+00,-2.244981050491333008e+00,1.406474304199218750e+01,-1.294899368286132812e+01,-1.065414980985224247e-03,-4.925632383674383163e-04
6.401228904724121094e-02,-1.055091142654418945e+00,-2.244981050491333008e+00,1.406474304199218750e+01,-1.294899368286132812e+01,-1.065414980985224247e-03,-4.925632383674383163e-04
6.501245498657226562e-02,-1.027575373649597168e+00,-2.265689611434936523e+00,1.438692760467529297e+01,-1.185593318939208984e+01,-1.455259975045919418e-03,-1.265528117073699832e-04
6.601262092590332031e-02,-1.000347256660461426e+00,-2.288316011428833008e+00,1.464818859100341797e+01,-1.200946140289306641e+01,-8.471515611745417118e-04,-1.769964874256402254e-04
6.701278686523437500e-02,-1.000347256660461426e+00,-2.288316011428833008e+00,1.464818859100341797e+01,-1.200946140289306641e+01,-8.471515611745417118e-04,-1.769964874256402254e-04
6.801295280456542969e-02,-9.716809988021850586e-01,-2.311709165573120117e+00,1.509894180297851562e+01,-1.234694576263427734e+01,-5.055708461441099644e-04,3.776241210289299488e-04
6.901335716247558594e-02,-9.716809988021850586e-01,-2.311709165573120117e+00,1.509894180297851562e+01,-1.234694576263427734e+01,-5.055708461441099644e-04,3.776241210289299488e-04
7.001352310180664062e-02,-9.412890076637268066e-01,-2.335102319717407227e+00,1.544774246215820312e+01,-1.253619575500488281e+01,5.313991568982601166e-04,-4.545165866147726774e-04
7.101368904113769531e-02,-9.412890076637268066e-01,-2.335102319717407227e+00,1.544774246215820312e+01,-1.253619575500488281e+01,5.313991568982601166e-04,-4.545165866147726774e-04
7.201385498046875000e-02,-9.120475053787231445e-01,-2.355427503585815430e+00,1.573851585388183594e+01,-1.177949810028076172e+01,-3.396944375708699226e-04,-1.420637592673301697e-03
7.301402091979980469e-02,-9.120475053787231445e-01,-2.355427503585815430e+00,1.573851585388183594e+01,-1.177949810028076172e+01,-3.396944375708699226e-04,-1.420637592673301697e-03
7.401418685913085938e-02,-8.810802102088928223e-01,-2.377286911010742188e+00,1.609662818908691406e+01,-1.175458240509033203e+01,-2.383097889833152294e-04,-7.619758252985775471e-04
7.501435279846191406e-02,-8.503527045249938965e-01,-2.398379087448120117e+00,1.643609046936035156e+01,-1.173017311096191406e+01,-3.574891597963869572e-04,-5.874564521946012974e-04
7.601451873779296875e-02,-8.503527045249938965e-01,-2.398379087448120117e+00,1.643609046936035156e+01,-1.173017311096191406e+01,-3.574891597963869572e-04,-5.874564521946012974e-04
7.701468467712402344e-02,-8.185225725173950195e-01,-2.418704271316528320e+00,1.671477127075195312e+01,-1.120366287231445312e+01,-3.101230831816792488e-04,-5.334779270924627781e-04
7.801485061645507812e-02,-8.185225725173950195e-01,-2.418704271316528320e+00,1.671477127075195312e+01,-1.120366287231445312e+01,-3.101230831816792488e-04,-5.334779270924627781e-04
7.901501655578613281e-02,-7.854940295219421387e-01,-2.438646078109741211e+00,1.712845611572265625e+01,-1.074154949188232422e+01,7.216673111543059349e-05,-6.616719765588641167e-04
8.001518249511718750e-02,-7.854940295219421387e-01,-2.438646078109741211e+00,1.712845611572265625e+01,-1.074154949188232422e+01,7.216673111543059349e-05,-6.616719765588641167e-04
8.101534843444824219e-02,-7.524176239967346191e-01,-2.460121870040893555e+00,1.740946960449218750e+01,-1.105384445190429688e+01,-8.651197422295808792e-04,-4.086825356353074312e-04
8.201551437377929688e-02,-7.524176239967346191e-01,-2.460121870040893555e+00,1.740946960449218750e+01,-1.105384445190429688e+01,-8.651197422295808792e-04,-4.086825356353074312e-04
8.301568031311035156e-02,-7.181426882743835449e-01,-2.479680061340332031e+00,1.781383323669433594e+01,-1.070504665374755859e+01,1.740111474646255374e-05,3.182721848133951426e-04
8.401584625244140625e-02,-7.181426882743835449e-01,-2.479680061340332031e+00,1.781383323669433594e+01,-1.070504665374755859e+01,1.740111474646255374e-05,3.182721848133951426e-04
8.501601219177246094e-02,-6.834843158721923828e-01,-2.499621868133544922e+00,1.814262008666992188e+01,-1.064329719543457031e+01,-1.780858292477205396e-04,-1.299826311878859997e-03
8.601617813110351562e-02,-6.834843158721923828e-01,-2.499621868133544922e+00,1.814262008666992188e+01,-1.064329719543457031e+01,-1.780858292477205396e-04,-1.299826311878859997e-03
8.701634407043457031e-02,-6.480589509010314941e-01,-2.518029451370239258e+00,1.850383567810058594e+01,-1.011461734771728516e+01,2.174340334022417665e-04,-1.526792533695697784e-03
8.801651000976562500e-02,-6.121542453765869141e-01,-2.536820888519287109e+00,1.884205245971679688e+01,-1.001755332946777344e+01,5.436950013972818851e-04,-9.331226465292274952e-04
8.901667594909667969e-02,-6.121542453765869141e-01,-2.536820888519287109e+00,1.884205245971679688e+01,-1.001755332946777344e+01,5.436950013972818851e-04,-9.331226465292274952e-04
9.001684188842773438e-02,-5.747154951095581055e-01,-2.555995464324951172e+00,1.917517089843750000e+01,-1.010046672821044922e+01,-9.296731441281735897e-04,-3.343481803312897682e-04
9.101700782775878906e-02,-5.747154951095581055e-01,-2.555995464324951172e+00,1.917517089843750000e+01,-1.010046672821044922e+01,-9.296731441281735897e-04,-3.343481803312897682e-04
9.201717376708984375e-02,-5.390504598617553711e-01,-2.571335315704345703e+00,1.919887542724609375e+01,-9.123973846435546875e+00,-4.667009052354842424e-04,-9.498423896729946136e-04
