time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,-8.628641953691840172e-04,-3.834952134639024734e-03,4.012849647551774979e-03,-8.689141273498535156e-02,4.969454021193087101e-04,-4.464663506951183081e-04
3.333330154418945312e-03,-1.006674952805042267e-03,-3.834952134639024734e-03,-3.644809126853942871e-02,-3.097713738679885864e-02,5.251978654996491969e-05,3.337241651024669409e-04
6.666660308837890625e-03,-7.190534961409866810e-04,-3.451456781476736069e-03,3.277507796883583069e-02,2.550395727157592773e-01,3.304319398012012243e-04,9.731482714414596558e-04
9.999990463256835938e-03,-8.628641953691840172e-04,-3.834952134639024734e-03,1.429366995580494404e-03,-1.746132522821426392e-01,1.171993557363748550e-03,9.643231169320642948e-04
1.333355903625488281e-02,-8.149273344315588474e-04,-3.451456781476736069e-03,2.058817632496356964e-02,-7.482245564460754395e-02,-5.763990338891744614e-05,1.241054153069853783e-03
1.666688919067382812e-02,-1.006674952805042267e-03,-2.300971187651157379e-03,-8.075023069977760315e-03,2.737416028976440430e-01,-3.973664424847811460e-04,1.893514301627874374e-03
2.000021934509277344e-02,-1.198422512970864773e-03,-1.917476067319512367e-03,-3.516775742173194885e-02,2.596899271011352539e-01,4.327422939240932465e-04,1.354363746941089630e-03
2.333354949951171875e-02,-1.102548674680292606e-03,-1.533980830572545528e-03,1.022891327738761902e-02,1.777935773134231567e-01,3.449936048127710819e-04,-3.283667610958218575e-04
2.666687965393066406e-02,-1.246359432116150856e-03,-1.533980830572545528e-03,-1.413439214229583740e-02,9.040550887584686279e-02,-6.165450904518365860e-04,2.357917837798595428e-04
3.000020980834960938e-02,-1.006674952805042267e-03,-2.300971187651157379e-03,3.591402620077133179e-02,-1.563132405281066895e-01,-7.418548921123147011e-04,-3.812080103671178222e-05
3.333353996276855469e-02,-7.190534961409866810e-04,-2.684466540813446045e-03,7.569026947021484375e-02,-1.272698640823364258e-01,8.845073898555710912e-05,4.910323768854141235e-04
3.666687011718750000e-02,-7.669904152862727642e-04,-3.451456781476736069e-03,4.018718004226684570e-02,-3.862479627132415771e-01,-9.777419036254286766e-04,7.609810563735663891e-04
4.000020027160644531e-02,-3.834952076431363821e-04,-3.451456781476736069e-03,7.933831214904785156e-02,-2.013683617115020752e-01,5.281582707539200783e-04,1.356436754576861858e-03
4.333353042602539062e-02,-5.752427969127893448e-04,-4.218447487801313400e-03,-2.188944071531295776e-02,-4.171965420246124268e-01,-2.315500023541972041e-04,1.902369433082640171e-03
4.666709899902343750e-02,-3.834952076431363821e-04,-3.451456781476736069e-03,-9.502684697508811951e-03,9.812049102038145065e-04,5.654622218571603298e-04,1.039956463500857353e-03
5.000042915344238281e-02,0.000000000000000000e+00,-2.684466540813446045e-03,7.260756939649581909e-02,1.627461314201354980e-01,-2.752938016783446074e-04,2.298580715432763100e-03
5.333375930786132812e-02,-6.711166352033615112e-04,-1.917476067319512367e-03,-8.215802162885665894e-02,1.745862811803817749e-01,2.299701154697686434e-04,8.179534925147891045e-04
5.666708946228027344e-02,-5.752427969127893448e-04,-7.669904152862727642e-04,-3.452169522643089294e-02,5.712497830390930176e-01,-6.080095772631466389e-04,1.080862784874625504e-04
6.000041961669921875e-02,-5.273059359751641750e-04,-1.150485593825578690e-03,1.382429385557770729e-03,8.804005384445190430e-02,1.136392704211175442e-03,-1.509413414169102907e-04
6.333398818969726562e-02,-6.231797160580754280e-04,-1.917476067319512367e-03,-1.593994908034801483e-02,-3.127998113632202148e-01,-5.738372565247118473e-04,-7.497448241338133812e-04
6.666731834411621094e-02,-4.314320976845920086e-04,-1.917476067319512367e-03,2.726498246192932129e-02,-2.278602421283721924e-01,-2.447364677209407091e-04,-3.626813122536987066e-04
7.000064849853515625e-02,-2.876213984563946724e-04,-2.684466540813446045e-03,3.029748611152172089e-02,-3.770055174827575684e-01,-6.245330441743135452e-04,1.440579188056290150e-03
7.333397865295410156e-02,1.438106992281973362e-04,-2.300971187651157379e-03,8.646181970834732056e-02,-8.448670059442520142e-02,-7.069280254654586315e-04,1.001577940769493580e-03
7.666730880737304688e-02,2.876213984563946724e-04,-3.451456781476736069e-03,7.048252969980239868e-02,-3.104173541069030762e-01,-1.776310382410883904e-04,2.213616389781236649e-03
8.000063896179199219e-02,0.000000000000000000e+00,-2.684466540813446045e-03,-4.129137843847274780e-02,1.522767394781112671e-01,-3.295183996669948101e-04,1.180319348350167274e-03
8.333396911621093750e-02,1.917476038215681911e-04,-3.067961661145091057e-03,-2.374405227601528168e-02,-8.665414154529571533e-02,-1.256390940397977829e-03,2.028769114986062050e-03
8.666729927062988281e-02,9.587380191078409553e-05,-2.684466540813446045e-03,-5.190419033169746399e-02,2.621870674192905426e-02,4.630405746866017580e-04,9.556338191032409668e-04
9.000062942504882812e-02,-9.587380191078409553e-05,-2.684466540813446045e-03,-9.166481345891952515e-02,4.094143956899642944e-02,-7.620709948241710663e-05,7.084790267981588840e-04
9.333395957946777344e-02,1.438106992281973362e-04,-2.300971187651157379e-03,-9.369797073304653168e-03,-9.027016907930374146e-02,-2.903130953200161457e-04,9.730862802825868130e-04
9.666752815246582031e-02,0.000000000000000000e+00,-1.533980830572545528e-03,-2.262328937649726868e-02,1.792293787002563477e-01,3.939457528758794069e-04,1.465716864913702011e-03
1.000008583068847656e-01,2.396845084149390459e-04,-1.150485593825578690e-03,5.920501798391342163e-02,2.163222283124923706e-01,-9.702476672828197479e-04,2.932282804977148771e-04
1.033341884613037109e-01,0.000000000000000000e+00,-1.533980830572545528e-03,1.793745718896389008e-02,-6.758512556552886963e-02,3.283846890553832054e-04,-1.151218602899461985e-04
