time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,4.314321093261241913e-03,1.917476067319512367e-03,-4.001717548817396164e-03,9.923979043960571289e-01,-4.862247733399271965e-04,-1.827424421207979321e-04
3.333091735839843750e-03,4.218447487801313400e-03,-3.834952076431363821e-04,-2.316653728485107422e-02,-1.181061267852783203e-01,-2.643706393428146839e-04,-6.513126427307724953e-04
6.666183471679687500e-03,4.218447487801313400e-03,-3.834952076431363821e-04,-1.920390874147415161e-02,-2.238263487815856934e-01,-6.957083824090659618e-04,-6.133546412456780672e-05
9.999275207519531250e-03,4.218447487801313400e-03,3.834952076431363821e-04,-1.407891884446144104e-02,2.456389814615249634e-01,-1.209117355756461620e-03,-3.919261216651648283e-04
1.333236694335937500e-02,4.170510452240705490e-03,-7.669904152862727642e-04,-2.004472911357879639e-02,-3.831078708171844482e-01,-9.970384417101740837e-04,-5.487047747010365129e-05
1.666545867919921875e-02,3.978762775659561157e-03,-1.150485593825578690e-03,-6.099514663219451904e-02,-6.281442642211914062e-01,-8.634051773697137833e-04,-6.676995544694364071e-04
1.999855041503906250e-02,4.266384057700634003e-03,7.669904152862727642e-04,1.092091109603643417e-02,3.186333179473876953e-01,-3.259718941990286112e-04,6.066038622520864010e-04
2.333164215087890625e-02,4.074636381119489670e-03,-1.150485593825578690e-03,-2.368688397109508514e-02,-5.014021992683410645e-01,-6.543861236423254013e-04,5.443496629595756531e-04
2.666473388671875000e-02,4.266384057700634003e-03,-1.150485593825578690e-03,4.033709317445755005e-02,-3.686703741550445557e-01,-8.382275700569152832e-04,-1.556851784698665142e-03
2.999782562255859375e-02,4.074636381119489670e-03,-1.533980830572545528e-03,7.519634906202554703e-03,-6.100939512252807617e-01,-8.374525932595133781e-04,1.368249068036675453e-03
3.333091735839843750e-02,3.930825740098953247e-03,7.669904152862727642e-04,-1.348474342375993729e-02,2.816081345081329346e-01,-5.599008291028439999e-04,-8.432731556240469217e-05
3.666424751281738281e-02,3.691141260787844658e-03,1.150485593825578690e-03,-5.577285587787628174e-02,5.637881755828857422e-01,-5.499501712620258331e-04,-6.192879664013162255e-05
3.999733924865722656e-02,3.834952134639024734e-03,-3.834952076431363821e-04,-6.392213515937328339e-03,-1.512156128883361816e-01,2.458397939335554838e-04,-1.273883506655693054e-03
4.333043098449707031e-02,3.834952134639024734e-03,0.000000000000000000e+00,-4.384640604257583618e-03,-4.874052479863166809e-03,-5.764900706708431244e-04,-5.053442437201738358e-04
4.666352272033691406e-02,3.882888937368988991e-03,-1.150485593825578690e-03,3.461397252976894379e-03,-3.645361065864562988e-01,-3.954248677473515272e-04,8.448091102764010429e-04
4.999661445617675781e-02,3.930825740098953247e-03,-2.300971187651157379e-03,1.258351933211088181e-02,-7.399269938468933105e-01,-6.705216947011649609e-04,-1.671013014856725931e-04
5.332970619201660156e-02,3.739078296348452568e-03,-7.669904152862727642e-04,-2.632596716284751892e-02,-4.712599888443946838e-02,-7.677055546082556248e-04,6.528483354486525059e-04
5.666279792785644531e-02,3.691141260787844658e-03,7.669904152862727642e-04,-1.668746024370193481e-02,4.574616849422454834e-01,-3.326139412820339203e-04,1.095067127607762814e-03
5.999612808227539062e-02,3.547330619767308235e-03,-7.669904152862727642e-04,-1.916535012423992157e-02,-4.354360997676849365e-01,-1.968722426681779325e-05,-1.045626471750438213e-03
6.332921981811523438e-02,3.451456781476736069e-03,2.300971187651157379e-03,-1.339416299015283585e-02,9.676929116249084473e-01,-4.079972568433731794e-04,-9.292950853705406189e-04
6.666231155395507812e-02,3.355583176016807556e-03,-3.834952076431363821e-04,-2.775545045733451843e-02,-3.466410040855407715e-01,-4.325987538322806358e-04,1.101245870813727379e-03
6.999540328979492188e-02,3.547330619767308235e-03,0.000000000000000000e+00,2.479526959359645844e-02,1.337879300117492676e-01,-2.946692984551191330e-04,-2.609170740470290184e-03
7.332849502563476562e-02,3.595267655327916145e-03,0.000000000000000000e+00,2.533888444304466248e-02,9.131124615669250488e-02,-6.012087687849998474e-04,1.823613536544144154e-03
7.666158676147460938e-02,3.451456781476736069e-03,0.000000000000000000e+00,-1.151942089200019836e-02,2.234518378973007202e-01,-2.953116490971297026e-04,-2.889644974857219495e-06
7.999467849731445312e-02,3.355583176016807556e-03,-3.834952076431363821e-04,-2.432355284690856934e-02,4.581076279282569885e-02,-8.277407614514231682e-04,1.766495843185111880e-04
8.332777023315429688e-02,3.115898463875055313e-03,-7.669904152862727642e-04,-7.135552912950515747e-02,-1.958825290203094482e-01,-4.978881333954632282e-04,5.095561937196180224e-05
8.666110038757324219e-02,3.211772302165627480e-03,1.150485593825578690e-03,-2.545467577874660492e-02,6.360644102096557617e-01,-5.984941963106393814e-04,5.058968672528862953e-04
8.999419212341308594e-02,3.163835499435663223e-03,1.150485593825578690e-03,-1.582102477550506592e-02,5.955495834350585938e-01,-1.776498829713091254e-04,1.711956865619868040e-04
9.332728385925292969e-02,3.163835499435663223e-03,-7.669904152862727642e-04,-1.271177316084504128e-03,-4.021383225917816162e-01,-8.135756943374872208e-04,-1.391098718158900738e-03
9.666037559509277344e-02,3.163835499435663223e-03,0.000000000000000000e+00,-2.040243474766612053e-03,4.270977154374122620e-02,-5.386868724599480629e-04,-6.490942905656993389e-04
9.999346733093261719e-02,3.307646140456199646e-03,-1.150485593825578690e-03,2.410646714270114899e-02,-3.959695398807525635e-01,-1.117219217121601105e-04,9.736682986840605736e-04
1.033265590667724609e-01,3.451456781476736069e-03,-7.669904152862727642e-04,4.697361961007118225e-02,-1.045729443430900574e-01,-2.300137421116232872e-04,2.970750529129873030e-06
1.066596508026123047e-01,3.307646140456199646e-03,7.669904152862727642e-04,4.186331760138273239e-03,7.228127717971801758e-01,-1.027609221637248993e-03,7.702349103055894375e-04
1.099927425384521484e-01,3.163835499435663223e-03,-3.834952076431363821e-04,-2.413469552993774414e-02,1.434618793427944183e-02,-1.169477123767137527e-03,1.370600803056731820e-04
1.133258342742919922e-01,3.115898463875055313e-03,-3.834952076431363821e-04,-2.874631062150001526e-02,3.542952239513397217e-02,-9.697329951450228691e-04,-9.851932991296052933e-04
1.166589260101318359e-01,3.259709337726235390e-03,-3.834952076431363821e-04,1.786229014396667480e-02,7.906743139028549194e-02,-5.368017591536045074e-04,2.329647250007838011e-04
1.199920177459716797e-01,3.259709337726235390e-03,-3.834952076431363821e-04,2.865692786872386932e-02,-4.252255707979202271e-02,-3.039407602045685053e-04,4.528077624854631722e-05
1.233251094818115234e-01,3.115898463875055313e-03,-7.669904152862727642e-04,-3.219542093575000763e-03,-2.898340821266174316e-01,-5.502881831489503384e-04,-7.233817541418829933e-06
1.266582012176513672e-01,3.163835499435663223e-03,-1.150485593825578690e-03,2.962048631161451340e-03,-3.605388104915618896e-01,-5.522188730537891388e-04,-1.531711022835224867e-04
1.299912929534912109e-01,3.211772302165627480e-03,-1.150485593825578690e-03,1.032487675547599792e-02,-4.275592565536499023e-01,-3.487875510472804308e-04,2.876383368857204914e-04
1.333243846893310547e-01,3.307646140456199646e-03,7.669904152862727642e-04,2.058508060872554779e-02,4.825642406940460205e-01,-3.858737181872129440e-04,-3.326922014821320772e-04
1.366574764251708984e-01,3.307646140456199646e-03,-3.834952076431363821e-04,1.064724661409854889e-02,2.735270746052265167e-02,5.136603722348809242e-04,-1.906912948470562696e-04
1.399905681610107422e-01,3.355583176016807556e-03,-3.834952076431363821e-04,1.332866400480270386e-02,-5.526560544967651367e-02,-5.769443814642727375e-04,-1.571408822201192379e-03
1.433236598968505859e-01,3.451456781476736069e-03,-3.834952076431363821e-04,2.193829230964183807e-02,1.145342811942100525e-01,-4.429461259860545397e-04,6.955954595468938351e-04
1.466569900512695312e-01,3.403519978746771812e-03,-7.669904152862727642e-04,6.456471048295497894e-03,-1.625481694936752319e-01,3.253997419960796833e-04,5.871925386600196362e-04
1.499900817871093750e-01,3.403519978746771812e-03,-3.834952076431363821e-04,4.726629238575696945e-03,-8.326406776905059814e-02,-4.109710571356117725e-04,-3.620108764152973890e-04
1.533231735229492188e-01,3.499393817037343979e-03,0.000000000000000000e+00,2.608535252511501312e-02,1.102708205580711365e-01,-2.816827618516981602e-04,1.401619811076670885e-04
1.566562652587890625e-01,3.307646140456199646e-03,0.000000000000000000e+00,-2.533936873078346252e-02,7.418848574161529541e-02,-3.064210177399218082e-04,-8.735932060517370701e-04
1.599893569946289062e-01,3.355583176016807556e-03,-7.669904152862727642e-04,-1.701953448355197906e-02,-3.356914818286895752e-01,-1.426551840268075466e-03,-2.541397407185286283e-04
1.633224487304687500e-01,3.547330619767308235e-03,0.000000000000000000e+00,1.726777292788028717e-02,9.667442739009857178e-02,-8.369658462470397353e-05,-3.911106032319366932e-04
1.666555404663085938e-01,3.499393817037343979e-03,-7.669904152862727642e-04,-7.164261303842067719e-03,-1.925274580717086792e-01,-5.626121419481933117e-04,1.196779121528379619e-04
1.699886322021484375e-01,3.547330619767308235e-03,-3.834952076431363821e-04,-5.950349848717451096e-03,-6.557740271091461182e-02,-4.651678609661757946e-04,-4.780308518093079329e-04
1.733219623565673828e-01,3.595267655327916145e-03,-7.669904152862727642e-04,-7.790765957906842232e-04,-1.628999561071395874e-01,-5.895057111047208309e-04,3.618976916186511517e-04
1.766550540924072266e-01,3.643204458057880402e-03,-1.533980830572545528e-03,8.550986647605895996e-03,-6.635627746582031250e-01,-8.015458006411790848e-04,-3.469742659945040941e-04
1.799881458282470703e-01,3.451456781476736069e-03,-7.669904152862727642e-04,-3.926715254783630371e-02,-2.730964124202728271e-01,-1.113535719923675060e-03,4.001393972430378199e-04
1.833212375640869141e-01,3.691141260787844658e-03,0.000000000000000000e+00,1.681439019739627838e-02,1.288605779409408569e-01,-1.024519326165318489e-03,9.797072270885109901e-04
1.866543292999267578e-01,3.643204458057880402e-03,-7.669904152862727642e-04,3.745066700503230095e-03,-3.230726718902587891e-01,-3.808416950050741434e-04,-6.845741881988942623e-04
1.899874210357666016e-01,3.451456781476736069e-03,0.000000000000000000e+00,-4.543139785528182983e-02,1.058676689863204956e-01,-5.482957349158823490e-04,-6.654119933955371380e-04
1.933205127716064453e-01,3.882888937368988991e-03,-1.150485593825578690e-03,4.837250337004661560e-02,-3.847208917140960693e-01,-5.086290184408426285e-04,2.634758129715919495e-04
1.966536045074462891e-01,3.739078296348452568e-03,0.000000000000000000e+00,4.178765229880809784e-03,7.292210310697555542e-02,-7.291090441867709160e-04,-6.968220113776624203e-04
1.999866962432861328e-01,3.834952134639024734e-03,-7.669904152862727642e-04,2.065071091055870056e-02,-2.125076055526733398e-01,-7.727242191322147846e-04,2.733383444137871265e-04
2.033197879791259766e-01,3.739078296348452568e-03,3.834952076431363821e-04,-1.773471711203455925e-03,3.573203086853027344e-01,-7.842252380214631557e-04,-1.277799368835985661e-03
2.066528797149658203e-01,3.834952134639024734e-03,-7.669904152862727642e-04,2.211521565914154053e-02,-2.269463241100311279e-01,-1.134987571276724339e-03,4.670793423429131508e-04
2.099859714508056641e-01,3.739078296348452568e-03,-7.669904152862727642e-04,1.488937763497233391e-03,-2.671074867248535156e-01,-3.957228909712284803e-04,-7.193600176833570004e-04
2.133190631866455078e-01,3.834952134639024734e-03,-7.669904152862727642e-04,2.481098286807537079e-02,-1.807886660099029541e-01,-4.169225867372006178e-04,3.298167139291763306e-04
2.166521549224853516e-01,3.691141260787844658e-03,0.000000000000000000e+00,-6.697051692754030228e-03,1.357348412275314331e-01,-2.620987070258706808e-04,-2.912413910962641239e-04
2.199852466583251953e-01,3.739078296348452568e-03,-7.669904152862727642e-04,6.820018868893384933e-03,-3.443838357925415039e-01,-9.641092037782073021e-04,1.846428203862160444e-04
2.233183383941650391e-01,3.739078296348452568e-03,0.000000000000000000e+00,8.585313335061073303e-03,1.950398236513137817e-01,-6.561446352861821651e-04,-3.649307473096996546e-05
2.266514301300048828e-01,3.739078296348452568e-03,-1.150485593825578690e-03,6.271462887525558472e-03,-4.460308551788330078e-01,-8.649807423353195190e-04,3.533302806317806244e-04
2.299845218658447266e-01,3.643204458057880402e-03,-3.834952076431363821e-04,-1.814192347228527069e-02,9.490160155110061169e-04,4.026244369015330449e-06,-4.211222112644463778e-04
2.333176136016845703e-01,3.739078296348452568e-03,-1.150485593825578690e-03,4.252836573868989944e-03,-3.597249090671539307e-01,-5.410512094385921955e-04,3.523625782690942287e-04
2.366507053375244141e-01,3.691141260787844658e-03,-3.834952076431363821e-04,-3.370599355548620224e-03,3.291538730263710022e-02,-4.228489124216139317e-04,-6.177430041134357452e-04
2.399837970733642578e-01,3.739078296348452568e-03,7.669904152862727642e-04,1.144799590110778809e-02,5.855965614318847656e-01,-2.726701495703309774e-04,3.930089587811380625e-04
2.433168888092041016e-01,3.643204458057880402e-03,-1.150485593825578690e-03,-7.989076897501945496e-03,-3.860239386558532715e-01,-3.775830555241554976e-04,-4.297541745472699404e-04
2.466499805450439453e-01,3.691141260787844658e-03,0.000000000000000000e+00,9.603865444660186768e-03,9.124390035867691040e-02,-3.047621867153793573e-04,-7.350744563154876232e-04
2.499830722808837891e-01,3.595267655327916145e-03,-1.150485593825578690e-03,-8.366623893380165100e-03,-4.352568387985229492e-01,-2.938126272056251764e-04,1.616578432731330395e-03
2.533164024353027344e-01,3.547330619767308235e-03,-3.834952076431363821e-04,-1.006901171058416367e-02,-1.700298339128494263e-01,-7.465070229955017567e-04,-1.410708297044038773e-03
2.566494941711425781e-01,3.643204458057880402e-03,1.533980830572545528e-03,1.609547622501850128e-02,8.173785805702209473e-01,-9.361963602714240551e-04,8.741448400542140007e-04
2.599825859069824219e-01,3.451456781476736069e-03,-1.150485593825578690e-03,-2.839025296270847321e-02,-3.145506680011749268e-01,-9.690902079455554485e-04,-2.344268723390996456e-04
2.633156776428222656e-01,3.595267655327916145e-03,-3.834952076431363821e-04,4.661380778998136520e-03,-6.830329447984695435e-02,-5.216253921389579773e-04,-1.997706713154911995e-03
2.666487693786621094e-01,3.547330619767308235e-03,-3.834952076431363821e-04,-1.124450378119945526e-02,3.576779505237936974e-03,-8.332366705872118473e-04,1.321107149124145508e-03
2.699818611145019531e-01,3.403519978746771812e-03,3.834952076431363821e-04,-4.847548156976699829e-02,4.743030965328216553e-01,-7.402675109915435314e-04,-5.738138570450246334e-04
2.733149528503417969e-01,3.499393817037343979e-03,-3.834952076431363821e-04,-1.215886883437633514e-02,1.656083948910236359e-02,6.219915667315945029e-05,7.461362984031438828e-04
2.766480445861816406e-01,3.451456781476736069e-03,3.834952076431363821e-04,-6.539978086948394775e-03,3.698880076408386230e-01,-3.216902550775557756e-04,-1.101338886655867100e-03
2.799811363220214844e-01,3.307646140456199646e-03,0.000000000000000000e+00,-3.559398651123046875e-02,1.316430717706680298e-01,-6.434945680666714907e-05,7.842095801606774330e-04
2.833142280578613281e-01,3.451456781476736069e-03,0.000000000000000000e+00,1.018058136105537415e-02,1.127580329775810242e-01,-1.218862053065095097e-05,-5.328358383849263191e-04
2.866473197937011719e-01,3.355583176016807556e-03,-3.834952076431363821e-04,-5.998944398015737534e-03,-5.765360221266746521e-02,-1.403706846758723259e-04,3.132444981019943953e-04
